"CT_site","Conservancy","n_days_sampled","n_images","n_days_detected","Species","prop_detected","popdens_log","closed_250m","closed_lc","agri_lc","distance_to_water","livestock_pressure"
"NB04","Naboisho",43,16,11,"hare",0.255813953488372,2.34357253916012,1,1,0,0.445982055664063,0.116279069767442
"NB01","Naboisho",43,66,29,"hare",0.674418604651163,2.35656638363548,0.582159624413146,0.582159624413145,0,0.456946380615234,0.0697674418604651
"NB02","Naboisho",43,0,0,NA,0,2.29736353091996,0.273148148148148,0.273148148148148,0,0.0670820388793945,0
"NB06","Naboisho",35,1,1,"hare",0.0285714285714286,2.87690437837898,0.631336405529954,0.631336405529954,0,0.21,0.428571428571429
"NB13","Naboisho",0,0,0,NA,NA,2.96926093373061,0.431192660550459,0.431192660550459,0,0.0424264068603516,NA
"NB30","Naboisho",39,8,4,"hare",0.102564102564103,2.42977459575295,0.292237442922374,0.292237442922374,0,0.349857116699219,0.384615384615385
"NB21","Naboisho",42,7,6,"hare",0.142857142857143,3.08261645454798,0.513636363636364,0.513636363636364,0,0.174928558349609,0.80952380952381
"NB22","Naboisho",39,57,21,"hare",0.538461538461538,2.84422067240159,0.442396313364055,0.442396313364055,0,0.15,0.538461538461538
"NB50","Naboisho",39,11,6,"hare",0.153846153846154,2.27433007036954,0.00930232558139535,0.00930232558139537,0,0.570788940429688,0.41025641025641
"NB43","Naboisho",35,0,0,NA,0,2.72508830301817,0.182648401826484,0.182648401826484,0,0.632850708007813,0.0857142857142857
"NB42","Naboisho",39,6,5,"hare",0.128205128205128,2.72290960752288,0,0,0,0.700357055664062,0.17948717948718
"NB36","Naboisho",39,0,0,NA,0,2.4780354914992,0.0454545454545455,0.0454545454545455,0,0.766615966796875,0.153846153846154
"NB29","Naboisho",21,1,1,"hare",0.0476190476190476,2.66732899510348,0.292237442922374,0.292237442922374,0,1.35133264160156,0.19047619047619
"NB16","Naboisho",41,0,0,NA,0,2.31604548187838,0.0958904109589041,0.0958904109589042,0,0.848528137207031,0.024390243902439
"NB08","Naboisho",20,5,3,"hare",0.15,2.18707452234012,0.44131455399061,0.44131455399061,0,1.27561755371094,0.1
"NB03","Naboisho",39,15,10,"hare",0.256410256410256,2.13491485614623,0.813636363636364,0.813636363636363,0,0.75,0.128205128205128
"NB07","Naboisho",9,0,0,NA,0,2.30305895715695,0.80365296803653,0.803652968036529,0,0.313209197998047,0
"NB15","Naboisho",41,13,12,"hare",0.292682926829268,2.2577531036734,1,1,0,1.98022729492188,0.0975609756097561
"NB14","Naboisho",23,9,7,"hare",0.304347826086957,2.58278302834497,0.857798165137615,0.857798165137615,0,0.06,0
"NB23","Naboisho",33,20,12,"hare",0.363636363636364,2.51203825259531,0.304147465437788,0.304147465437788,0,0.391152130126953,0.333333333333333
"NB24","Naboisho",40,0,0,NA,0,2.44530604468853,0.71689497716895,0.71689497716895,0,1.27632287597656,0.15
"NB25","Naboisho",40,1,1,"hare",0.025,2.31041339738347,0.726415094339623,0.726415094339623,0,0.595482971191406,0
"NB33","Naboisho",39,3,3,"hare",0.0769230769230769,2.49807446385322,0.0704225352112676,0.0704225352112675,0,0.553172668457031,0.435897435897436
"NB31","Naboisho",40,9,9,"hare",0.225,2.30689930361533,0.762557077625571,0.762557077625571,0,0.12,0.175
"NB32","Naboisho",40,9,9,"hare",0.225,2.47140184052209,0.821100917431193,0.821100917431193,0,0.792590698242188,0.225
"NB41","Naboisho",38,0,0,NA,0,2.63846210035531,0.0136363636363636,0.0136363636363636,0,1.72754162597656,0.0789473684210526
"NB40","Naboisho",38,11,9,"hare",0.236842105263158,2.6142502210577,0.126168224299065,0.126168224299065,0,0.692603759765625,0.105263157894737
"NB45","Naboisho",38,10,9,"hare",0.236842105263158,2.62731569718363,0,0,0,1.23146252441406,0.473684210526316
"NB48","Naboisho",38,3,3,"hare",0.0789473684210526,2.62596804256772,0,0,0,0.729931518554688,0.81578947368421
"NB39","Naboisho",38,3,2,"hare",0.0526315789473684,2.68324647720675,0.0045662100456621,0.0045662100456621,0,0.201246124267578,0.736842105263158
"MN02","Mara North",35,4,4,"hare",0.114285714285714,2.68119638390372,0,0,0,0.636396118164062,0.771428571428571
"MN04","Mara North",16,1,1,"hare",0.0625,2.30627487666327,0.200913242009132,0.200913242009132,0,0.402492248535156,0.6875
"MN05","Mara North",39,0,0,NA,0,2.86531189836848,0.0276497695852535,0.0276497695852534,0,1.86603857421875,0.0512820512820513
"MN06","Mara North",39,0,0,NA,0,2.76893326128443,0,0,0,1.43405017089844,0
"MN07","Mara North",39,1,1,"hare",0.0256410256410256,2.67291915794018,0,0,0,2.11366967773438,0.615384615384615
"MN08","Mara North",33,1,1,"hare",0.0303030303030303,2.36133594979489,0.32579185520362,0.32579185520362,0,0.381837677001953,0.393939393939394
"MN09","Mara North",39,0,0,NA,0,2.9942948319783,0.149321266968326,0.149321266968326,0,0.787464294433594,0.692307692307692
"MN10","Mara North",10,0,0,NA,0,3.28710310673658,0.0950226244343891,0.0950226244343891,0,0.755380676269531,0.2
"MN11","Mara North",39,3,3,"hare",0.0769230769230769,2.87049156615005,0.0045662100456621,0.00456621004566213,0,0.560446228027344,0.128205128205128
"MN12","Mara North",38,0,0,NA,0,2.77887714065701,0,0,0,0.457930114746094,0
"MN13","Mara North",26,3,2,"hare",0.0769230769230769,2.79466159930837,0.236363636363636,0.236363636363636,0,1.00623059082031,0
"MN14","Mara North",32,8,6,"hare",0.1875,2.86866265505236,0.472727272727273,0.472727272727273,0,1.0495712890625,0.15625
"MN15","Mara North",20,1,1,"hare",0.05,2.83992809908771,0.799086757990868,0.799086757990868,0,0.28460498046875,0.15
"MN16","Mara North",40,5,2,"hare",0.05,3.1922763654912,0.273972602739726,0.273972602739726,0,0.496588348388672,0.025
"MN17","Mara North",37,6,5,"hare",0.135135135135135,3.04575806532968,0.222727272727273,0.222727272727273,0,0,0.351351351351351
"MN18","Mara North",11,1,1,"hare",0.0909090909090909,3.95919522393442,0.752336448598131,0.752336448598131,0,0.12,0
"MN19","Mara North",39,14,10,"hare",0.256410256410256,3.23697285293224,0.0599078341013825,0.0599078341013824,0,0.234307495117187,0.846153846153846
"MN20","Mara North",23,0,0,NA,0,2.9239565074974,0.188073394495413,0.188073394495413,0,1.154123046875,0.304347826086957
"MN21","Mara North",21,0,0,NA,0,2.75239477905108,0.0904977375565611,0.0904977375565612,0,0.276586334228516,0.238095238095238
"MN22","Mara North",39,2,2,"hare",0.0512820512820513,2.8321905934194,0.456221198156682,0.456221198156682,0,1.11162048339844,0.282051282051282
"MN23","Mara North",39,0,0,NA,0,2.95558101586424,0.410138248847926,0.410138248847926,0,1.27455871582031,0.743589743589744
"MN24","Mara North",9,5,3,"hare",0.333333333333333,3.07643759495773,0.388127853881279,0.388127853881278,0,0.0848528137207031,0.555555555555556
"MN25","Mara North",15,1,1,"hare",0.0666666666666667,3.42120412297885,0.232876712328767,0.232876712328767,0,0.201246124267578,0
"MN26","Mara North",3,0,0,NA,0,3.3182342250114,0,0,0,1.43027966308594,0.666666666666667
"MN27","Mara North",37,0,0,NA,0,3.3685653800638,0.612903225806452,0.612903225806451,0,0.123693168640137,0.891891891891892
"MN29","Mara North",37,1,1,"hare",0.027027027027027,2.98940630715652,0.0091743119266055,0.00917431192660554,0,0.349857116699219,0.972972972972973
"MN30","Mara North",37,16,12,"hare",0.324324324324324,2.86274141089267,0,0,0,0.977189819335938,0.405405405405405
"MN31","Mara North",39,0,0,NA,0,2.87072880955326,0.14027149321267,0.14027149321267,0,0.342052612304687,0.17948717948718
"MN32","Mara North",20,0,0,NA,0,2.96864452506136,0.195454545454545,0.195454545454546,0,0.349857116699219,0.15
"MN33","Mara North",36,32,19,"hare",0.527777777777778,2.92793080667322,0.648401826484018,0.648401826484018,0,0.61773779296875,0
"MN34","Mara North",39,4,2,"hare",0.0512820512820513,3.65680085697823,0,0,0,0.844807678222656,0
"MN35","Mara North",29,0,0,NA,0,3.58017199427437,0.00469483568075117,0.00469483568075119,0,0.670820373535156,0.793103448275862
"MN37","Mara North",32,0,0,NA,0,2.79702620078985,0,0,0,0.432666168212891,0.0625
"MN38","Mara North",32,0,0,NA,0,2.73025461530726,0,0,0,0.666108093261719,0.3125
"MN39","Mara North",34,0,0,NA,0,2.84373579233721,0,0,0,0.442944702148438,0.0882352941176471
"MN40","Mara North",12,0,0,NA,0,3.00091443052753,0.118181818181818,0.118181818181818,0,0.818840637207031,0
"MN41","Mara North",12,0,0,NA,0,3.04328212589721,0.132420091324201,0.132420091324201,0,1.06320275878906,0
"MN42","Mara North",40,1,1,"hare",0.025,3.09554175434756,0.131221719457014,0.131221719457014,0,0.318904388427734,0.575
"MN43","Mara North",23,1,1,"hare",0.0434782608695652,2.91426864779942,0.648401826484018,0.648401826484018,0,0.859592956542969,0
"MN44","Mara North",27,0,0,NA,0,2.91413865024601,0,0,0,1.28825463867187,0.222222222222222
"MN45","Mara North",33,1,1,"hare",0.0303030303030303,2.88702261543833,0,0,0,0.907964782714844,0
"MN46","Mara North",37,0,0,NA,0,3.16377094989438,0.0136363636363636,0.0136363636363636,0,0.39,0
"MN47","Mara North",10,0,0,NA,0,3.08085037056438,0.00909090909090909,0.00909090909090912,0,0.576281188964844,0.4
"MN48","Mara North",22,0,0,NA,0,2.9124999097149,0.0410958904109589,0.0410958904109589,0,0.92417529296875,0
"MN49","Mara North",15,0,0,NA,0,3.16833189370831,0.00909090909090909,0.00909090909090911,0,1.07415087890625,0
"MN50","Mara North",30,0,0,NA,0,3.45488407557939,0.102325581395349,0.102325581395349,0,1.30249755859375,0
"MT01","Mara Triangle",39,10,8,"hare",0.205128205128205,1.2836593181034,0.0232558139534884,0.0232558139534883,0,0.85802099609375,0
"MT02","Mara Triangle",39,3,3,"hare",0.0769230769230769,1.28092935073322,0,0,0,1.05385009765625,0.0256410256410256
"MT03","Mara Triangle",36,1,1,"hare",0.0277777777777778,1.22768251122418,0.0186046511627907,0.0186046511627907,0,0.800499816894531,0
"MT04","Mara Triangle",10,0,0,NA,0,1.24859001825387,0.0985915492957746,0.0985915492957746,0,1.09036694335938,0
"MT05","Mara Triangle",39,0,0,NA,0,1.4094046643901,0.10958904109589,0.10958904109589,0,1.35665026855469,0
"MT06","Mara Triangle",0,0,0,NA,NA,1.50697052224785,0.0420560747663551,0.0420560747663551,0,1.50986755371094,NA
"MT07","Mara Triangle",38,0,0,NA,0,1.54594448130814,0.0590909090909091,0.059090909090909,0,0.29698486328125,0
"MT08","Mara Triangle",24,0,0,NA,0,1.55554745620531,0.164319248826291,0.164319248826291,0,0.03,0
"MT09","Mara Triangle",9,0,0,NA,0,1.42854386845275,0.0276497695852535,0.0276497695852534,0,0.898999450683594,0
"MT10","Mara Triangle",37,3,2,"hare",0.0540540540540541,1.24438342742267,0.0091743119266055,0.00917431192660552,0,0.966074523925781,0
"MT11","Mara Triangle",39,0,0,NA,0,1.22975021645444,0.112676056338028,0.112676056338028,0,0.543323120117188,0
"MT12","Mara Triangle",12,0,0,NA,0,1.448359319728,0.227906976744186,0.227906976744186,0,0.58249462890625,0
"MT13","Mara Triangle",41,0,0,NA,0,1.52914154199036,0.0182648401826484,0.0182648401826485,0,2.15081372070313,0
"MT14","Mara Triangle",40,0,0,NA,0,2.03981573202778,0.442922374429224,0.442922374429224,0,1.86024194335938,0
"MT15","Mara Triangle",21,0,0,NA,0,2.17415928215115,0.589041095890411,0.589041095890411,0,1.261427734375,0
"MT16","Mara Triangle",31,4,3,"hare",0.0967741935483871,2.07054033058585,0.0136363636363636,0.0136363636363636,0,0.573149169921875,0
"MT17","Mara Triangle",25,1,1,"hare",0.04,1.61047410173915,0.0737327188940092,0.0737327188940092,0,1.26570141601563,0
"MT18","Mara Triangle",39,1,1,"hare",0.0256410256410256,1.50587793880988,0.0271493212669683,0.0271493212669684,0,1.19549157714844,0
"MT19","Mara Triangle",28,1,1,"hare",0.0357142857142857,1.26442224463098,0.0730593607305936,0.0730593607305936,0,2.563201171875,0
"MT20","Mara Triangle",39,0,0,NA,0,1.30022754492542,0.0454545454545455,0.0454545454545453,0,1.27349914550781,0
"MT21","Mara Triangle",11,1,1,"hare",0.0909090909090909,1.46304432898592,0.374429223744292,0.374429223744292,0,0.930483764648438,0
"MT22","Mara Triangle",28,0,0,NA,0,1.63047898758796,0.0228310502283105,0.0228310502283105,0,0.61773779296875,0
"MT23","Mara Triangle",39,0,0,NA,0,2.34514688882495,0.419354838709677,0.419354838709677,0,0.87051708984375,0
"MT24","Mara Triangle",31,0,0,NA,0,2.61823297671605,0.293577981651376,0.293577981651377,0,0.366196655273437,0
"MT25","Mara Triangle",37,1,1,"hare",0.027027027027027,2.11670325138055,0.557603686635945,0.557603686635945,0,0.03,0
"MT26","Mara Triangle",40,0,0,NA,0,1.94305764499835,0.0233644859813084,0.0233644859813084,0,2.77949633789062,0.025
"MT27","Mara Triangle",40,1,1,"hare",0.025,1.68008340029375,0,0,0,1.52970581054688,0
"MT28","Mara Triangle",31,2,2,"hare",0.0645161290322581,1.45234058425796,0.0136986301369863,0.0136986301369863,0,2.25858374023437,0
"MT29","Mara Triangle",25,0,0,NA,0,1.4031145923124,0,0,0,2.53300219726562,0
"MT30","Mara Triangle",25,0,0,NA,0,1.62056258169204,0.0769230769230769,0.0769230769230769,0,1.27561755371094,0
"MT31","Mara Triangle",32,0,0,NA,0,1.67512996781006,0.123853211009174,0.123853211009174,0,0.534134826660156,0
"MT33","Mara Triangle",37,0,0,NA,0,3.71218877383284,0.630841121495327,0.630841121495328,0,0.174928558349609,0
"MT35","Mara Triangle",41,0,0,NA,0,2.1080678718805,0,0,0,0.603738342285156,0
"MT36","Mara Triangle",35,0,0,NA,0,1.82371471385851,0,0,0,1.35665026855469,0
"MT37","Mara Triangle",40,0,0,NA,0,1.4521390012351,0.00454545454545455,0.00454545454545456,0,0.980866943359375,0
"MT38","Mara Triangle",30,0,0,NA,0,1.41961742988778,0.211267605633803,0.211267605633803,0,1.21490734863281,0
"MT39","Mara Triangle",15,4,4,"hare",0.266666666666667,1.60553468075665,0.195454545454545,0.195454545454546,0,0.0670820388793945,0
"MT40","Mara Triangle",41,0,0,NA,0,2.67682008988266,0.0045662100456621,0.00456621004566212,0,1.41031909179688,0
"MT41","Mara Triangle",26,0,0,NA,0,2.4507171770124,0.186046511627907,0.186046511627907,0,2.47822509765625,0
"MT42","Mara Triangle",41,0,0,NA,0,1.90243750749871,0.0921658986175115,0.0921658986175115,0,1.93214904785156,0
"MT43","Mara Triangle",11,0,0,NA,0,1.67961267960364,0,0,0,1.78443273925781,0
"MT44","Mara Triangle",41,0,0,NA,0,1.5357243356407,0.0330188679245283,0.0330188679245282,0,1.48006762695312,0
"MT45","Mara Triangle",16,0,0,NA,0,1.51786108990363,0.773755656108597,0.773755656108597,0,0.15,0
"MT46","Mara Triangle",26,0,0,NA,0,3.2054875345007,0.12962962962963,0.12962962962963,0,0.844807678222656,0
"MT47","Mara Triangle",41,0,0,NA,0,3.06118492430615,0,0,0,0.670820373535156,0
"MT48","Mara Triangle",41,0,0,NA,0,2.28554303052528,0.105022831050228,0.105022831050228,0,1.89190380859375,0
"MT49","Mara Triangle",12,0,0,NA,0,1.90739377545488,0.780821917808219,0.780821917808219,0,2.81440942382812,0
"MT50","Mara Triangle",0,0,0,NA,NA,1.71998445883187,0.607305936073059,0.60730593607306,0,1.200375,NA
